subject,age,gender,handedness,eyedominance,percept_mean_neutral,percept_mean_scowl,percept_mean_smile,percept_mean_smile_vs_neutral,percept_mean_smile_vs_scowl,study
67.00,20.00,F,R,R,3.24,3.22,3.44,0.19,0.21,2.00
98.00,28.00,M,R,L,3.14,2.75,3.06,-0.08,0.30,2.00
54.00,25.00,M,R,R,1.63,1.57,1.60,-0.02,0.03,2.00
57.00,19.00,O,R,R,2.51,2.69,2.59,0.08,-0.11,2.00
83.00,19.00,M,L,L,3.27,3.32,3.02,-0.25,-0.31,2.00
95.00,24.00,F,R,R,3.33,3.08,2.86,-0.47,-0.22,2.00
111.00,22.00,F,L,R,2.78,3.03,3.22,0.43,0.18,2.00
69.00,22.00,F,R,R,3.19,3.05,3.17,-0.02,0.12,2.00
82.00,19.00,M,R,R,2.92,2.76,2.98,0.06,0.22,2.00
97.00,22.00,F,R,L,3.29,3.07,3.70,0.41,0.63,2.00
76.00,19.00,F,R,R,2.93,2.87,3.51,0.58,0.64,2.00
64.00,19.00,M,R,R,2.96,3.13,2.92,-0.04,-0.21,2.00
93.00,18.00,F,R,R,3.02,3.12,2.92,-0.10,-0.20,2.00
51.00,23.00,F,L,R,3.20,2.94,3.09,-0.11,0.15,2.00
85.00,23.00,M,R,L,3.14,3.12,2.76,-0.38,-0.36,2.00
92.00,21.00,F,R,L,2.67,2.42,2.77,0.10,0.35,2.00
65.00,21.00,M,R,R,2.69,2.93,2.95,0.26,0.02,2.00
100.00,19.00,M,R,R,3.19,3.47,3.69,0.50,0.22,2.00
107.00,23.00,M,R,R,3.19,3.50,3.58,0.39,0.08,2.00
81.00,21.00,M,B,L,3.10,3.06,3.18,0.08,0.12,2.00
90.00,21.00,M,R,L,3.07,3.02,3.21,0.14,0.19,2.00
86.00,23.00,F,R,L,2.73,2.72,2.95,0.23,0.23,2.00
75.00,52.00,M,L,L,2.95,2.65,2.89,-0.06,0.23,2.00
73.00,24.00,F,R,R,2.89,2.83,3.53,0.64,0.70,2.00
101.00,21.00,F,R,R,3.00,2.09,3.56,0.56,1.46,2.00
115.00,19.00,F,R,L,3.43,3.28,3.86,0.44,0.58,2.00
80.00,19.00,F,R,R,3.27,3.11,3.50,0.23,0.39,2.00
58.00,18.00,F,R,R,2.72,3.02,2.32,-0.41,-0.70,2.00
99.00,22.00,M,L,L,3.42,2.92,3.24,-0.19,0.31,2.00
102.00,25.00,M,L,L,2.72,3.17,2.95,0.23,-0.22,2.00
