subject,age,gender,handedness,face_rating,masked_face
55,19,F,R,3.27,masked_scowl
61,21,M,R,2.65,masked_scowl
77,18,F,L,3.65,masked_scowl
79,21,M,R,2.28,masked_scowl
88,26,F,L,3.17,masked_scowl
89,20,F,R,3.18,masked_scowl
108,25,F,R,3.08,masked_scowl
112,20,M,R,3.17,masked_scowl
114,23,M,L,3.18,masked_scowl
60,18,F,L,3.36,masked_scowl
70,28,F,R,2.64,masked_scowl
74,20,F,L,2.98,masked_scowl
84,22,F,R,3,masked_scowl
87,29,F,R,3.39,masked_scowl
96,19,F,R,2.92,masked_scowl
105,21,F,L,3.22,masked_scowl
109,21,M,L,3.35,masked_scowl
52,35,F,R,3.03,masked_scowl
59,24,F,R,3.12,masked_scowl
62,20,M,R,2.84,masked_scowl
63,20,M,R,2.98,masked_scowl
67,20,F,L,3.22,masked_scowl
98,28,M,R,2.75,masked_scowl
83,19,M,L,3.32,masked_scowl
95,24,F,R,3.08,masked_scowl
111,22,F,L,3.03,masked_scowl
69,22,F,L,3.05,masked_scowl
82,19,M,R,2.76,masked_scowl
97,22,F,L,3.07,masked_scowl
76,19,F,L,2.87,masked_scowl
64,19,M,L,3.13,masked_scowl
93,18,F,R,3.12,masked_scowl
51,23,F,L,2.94,masked_scowl
85,23,M,L,3.12,masked_scowl
92,21,F,R,2.42,masked_scowl
65,21,M,R,2.93,masked_scowl
100,19,M,R,3.47,masked_scowl
107,23,M,R,3.5,masked_scowl
81,21,M,L,3.06,masked_scowl
90,21,M,R,3.02,masked_scowl
86,23,F,R,2.72,masked_scowl
75,52,M,L,2.65,masked_scowl
73,24,F,R,2.83,masked_scowl
101,21,F,L,2.09,masked_scowl
115,19,F,R,3.28,masked_scowl
80,19,F,R,3.11,masked_scowl
58,18,F,L,3.02,masked_scowl
99,22,M,L,2.92,masked_scowl
102,25,M,L,3.17,masked_scowl
1,20,M,R,3.17,masked_smile
2,19,F,R,3.33,masked_smile
4,20,F,L,2.78,masked_smile
5,18,F,R,3.68,masked_smile
6,19,F,L,3.34,masked_smile
7,19,F,R,3.69,masked_smile
8,20,F,L,3.33,masked_smile
9,23,M,R,3.07,masked_smile
10,19,F,R,3.43,masked_smile
11,21,F,L,3.15,masked_smile
12,17,M,L,3.58,masked_smile
13,21,M,R,3.36,masked_smile
14,19,F,R,2.68,masked_smile
15,18,M,L,2.98,masked_smile
16,18,F,R,3.92,masked_smile
17,19,F,R,3,masked_smile
18,18,M,L,2.96,masked_smile
19,18,F,L,3.21,masked_smile
20,19,F,R,2.84,masked_smile
21,18,F,R,3.16,masked_smile
22,18,M,R,2.72,masked_smile
23,18,F,L,3.24,masked_smile
24,18,M,L,3,masked_smile
25,18,F,L,3.53,masked_smile
26,20,F,L,2.82,masked_smile
27,19,F,L,3.4,masked_smile
28,18,F,L,3,masked_smile
29,18,F,R,3.08,masked_smile
