condition,unit_donate,donate,female,age,math_score
3,,5,0,28,0.351970352
3,,20,0,18,0.226400675
3,,100,1,27,-0.817837369
2,40,100,1,30,-1.442363625
3,,20,1,31,0.9774099
2,5,10,1,49,-0.484300705
1,,1,1,50,-0.136077064
3,,20,1,36,0.810419387
2,1,1,1,23,0.282923936
2,25,25,1,59,1.349362594
2,10,10,,,0.69501996
1,,10,1,24,1.456900059
3,,5,1,23,0.125880604
1,,4,0,25,0.838966972
2,15,30,0,24,0.960160499
2,3,75,1,33,0.512739492
2,5,10,0,20,1.1849552
1,,20,1,22,1.629559634
1,,30,0,31,0.059308367
2,4,80,1,24,0.4691612
1,,5,0,19,-0.460414089
3,,5,1,53,-0.975571158
1,,20,0,27,-0.080788727
1,,50,1,31,-0.373637911
2,25,75,0,34,-0.447520008
2,10,10,0,23,-0.553477694
1,,5,1,29,0.276930988
1,,30,0,20,-0.476996184
3,,20,1,33,0.73615273
1,,10,1,30,-0.032884428
1,,20,1,39,-1.242575545
2,20,100,0,27,-1.101345813
2,10,25,1,59,0.208617992
1,,5,0,19,0.147052538
2,0,0,0,24,-0.676151065
3,,0,0,20,-0.992482421
1,,0,0,32,-1.217814304
1,,40,0,23,-0.169034182
3,,50,1,37,-0.101044487
1,,20,0,38,-0.764402252
1,,0,0,22,0.679162521
2,20,100,0,22,-0.317098333
1,,10,1,24,-0.068317105
2,20,25,1,61,0.472995152
2,5,5,0,24,-0.343289289
3,,2,1,33,-0.2004801
1,,5,0,24,-1.039021201
1,,2,0,23,0.913814142
3,,75,1,49,-0.703331475
3,,40,0,24,-0.633173693
1,,0,0,23,0.651750088
1,,20,0,20,-0.778717719
3,,10,0,22,0.530410024
1,,20,0,26,-1.362800716
2,5,5,1,36,0.633012178
1,,100,0,27,0.178613032
3,,10,0,28,0.376019411
1,,20,1,24,-0.061284311
1,,100,0,,0.21347442
3,,0,0,29,-0.384279549
2,2,20,1,30,-1.176352583
1,,0,0,24,-0.267292432
1,,200,1,31,-1.050294371
2,10,20,0,68,0.12578799
1,,0,0,27,0.344523952
2,0,0,0,20,0.285681758
1,,5,0,31,-1.369287252
2,20,50,0,23,-0.201802052
1,,20,1,33,0.934160908
2,20,200,1,40,0.955391216
2,20,50,1,62,0.205800401
3,,10,0,44,0.373262811
1,,2,0,52,0.862147448
1,,10,0,25,0.19542494
1,,20,1,52,-1.024992717
1,,5,0,27,0.278680237
1,,5,1,36,0.874023064
3,,0,0,25,0.412207724
1,,40,1,23,0.609142961
3,,100,0,22,-0.427884439
3,,10,0,23,-1.693232993
1,,20,1,29,-0.654791765
2,10,50,0,27,-0.287346612
2,5,40,0,23,-0.046527714
3,,50,0,35,0.476924335
1,,20,1,34,-0.728226088
1,,10,0,19,0.720225505
1,,5,1,23,-1.87358539
1,,5,1,34,-0.001702494
3,,20,0,62,-2.209419334
1,,20,0,23,-1.310315524
2,5,50,0,64,0.282484426
2,0,0,0,22,-0.447852745
1,,50,1,50,1.762391063
1,,50,1,31,-0.654142532
2,0,0,0,38,0.312791723
3,,20,1,25,1.650597393
3,,10,0,22,0.16045216
2,20,20,1,32,-0.456365743
2,20,20,0,22,-0.13925625
3,,10,0,19,-0.608936738
3,,5,1,34,1.481543783
3,,3,0,32,-0.779614131
2,10,200,1,41,-0.575937828
1,,20,0,37,-0.324080034
3,,0,0,29,0.196559773
3,,100,0,26,0.106062985
1,,5,1,23,-0.647801601
3,,20,1,51,-0.363503875
3,,10,0,27,-0.154615101
1,,20,0,24,-0.365314458
2,20,20,1,34,-0.85963507
1,,20,0,23,-0.592268891
3,,50,1,35,-0.273723897
3,,20,0,30,-0.061171108
1,,20,0,32,-0.725585775
2,20,50,0,29,0.00623724
1,,20,0,40,-0.123387724
1,,25,1,27,0.448611712
1,,0,0,29,-0.83118835
2,20,100,1,20,0.168088561
3,,50,0,19,-2.098725591
2,10,20,0,21,-0.182297042
1,,5,0,21,1.442041544
3,,10,0,25,-0.435224501
3,,1,0,30,-0.188437243
1,,1,1,29,-0.476119614
3,,25,1,49,-1.007965256
1,,0,0,23,0.061323187
3,,5,0,25,-1.188548198
2,1,2,0,24,0.355274744
2,50,50,0,30,-0.129763273
3,,20,1,31,0.049381203
2,5,5,0,48,-0.110156447
1,,20,0,29,0.964785384
1,,20,0,55,0.387904456
3,,10,1,40,0.440028715
2,10,10,0,24,1.045707523
1,,5,0,27,-1.065260662
2,20,100,0,25,-0.333430266
2,5,20,0,27,0.741665149
2,0,0,0,29,-0.345139754
2,5,20,0,20,-0.283768392
1,,20,1,19,1.068810733
1,,10,0,22,0.196901606
1,,20,0,20,-0.506466324
2,20,500,0,29,0.35260367
2,5,10,0,21,-0.562084553
3,,20,0,32,-0.771207648
1,,20,0,26,0.387012535
2,10,50,0,24,0.10853372
2,20,50,0,24,0.238310086
3,,100,0,42,0.141457676
3,,20,0,22,-0.241431856
3,,20,1,67,-0.307207247
1,,100,1,24,0.922017953
3,,0,0,33,-1.289018099
1,,100,1,55,0.363788882
3,,60,0,24,-0.35711521
3,,40,1,25,0.502908571
3,,50,1,31,1.220650815
3,,50,0,30,0.710333784
2,2,2,1,28,-0.103127129
3,,0,0,20,-0.56110619
3,,0,0,19,0.461855083
2,5,10,0,23,-0.115540216
3,,10,1,19,-0.273651273
3,,10,0,52,-0.143770085
2,5,100,0,27,-0.064993248
2,10,100,1,25,0.576590639
2,10,60,1,26,0.147637309
3,,0,0,24,0.664630577
3,,5,1,24,-0.078419322
1,,20,0,55,0.428574555
2,15,0,0,19,-0.267037549
3,,20,0,28,-0.418481168
3,,200,1,33,0.197033142
2,5,10,0,22,-0.359035533
1,,10,1,26,-0.493039456
2,15,100,0,23,0.177064306
2,5,10,1,40,0.277950405
2,10,180,0,27,-0.208030863
3,,50,0,40,-1.268010773
3,,100,1,39,-1.553688897
3,,5,1,23,1.023247359
1,,20,1,19,-0.106269169
3,,10,1,22,0.950894913
3,,30,1,20,0.813299291
3,,20,0,29,1.473981036
2,50,50,1,58,-1.23052365
2,50,100,0,37,0.226686398
1,,20,1,27,-0.090378789
1,,5,0,21,0.639600872
2,20,2,0,27,0.707511572
3,,50,0,26,-0.41209296
2,5,6,1,28,0.344527679
2,10,50,0,26,-0.486398942
2,5,20,1,,0.687053059
3,,200,0,24,-0.078442051
1,,20,0,25,-0.528318411
1,,2,1,21,-0.498193226
3,,100,1,58,-0.30359155
2,0,0,1,21,-0.583605684
3,,20,0,21,0.14126544
3,,100,1,23,-0.217215257
1,,5,1,24,0.303257751
1,,20,0,26,0.511141925
1,,5,1,25,0.232887505
3,,2,0,23,0.559124964
1,,15,0,22,-0.284418249
3,,50,1,39,1.099935457
3,,20,1,40,-0.607822073
3,,100,1,24,0.286519792
1,,10,1,48,-0.473916258
3,,5,1,29,0.342309834
3,,400,0,37,1.077989328
1,,0,0,24,1.494068303
2,50,60,0,21,-1.051615311
3,,25,1,19,0.862875771
1,,20,0,47,-0.354221033
3,,20,1,60,-0.033807215
1,,0,1,19,0.248904694
1,,20,1,36,1.02783567
3,,0,0,30,1.032127062
2,10,20,0,28,-0.495260595
3,,2,0,27,0.182665027
2,25,25,1,23,-0.916812981
2,20,50,1,28,0.232895264
3,,0,1,25,-0.607148389
3,,1,0,31,-0.215316072
1,,100,0,25,0.045860451
3,,10,1,25,-1.753790095
2,10,100,0,30,-0.789920283
2,3,10,0,33,-0.067804094
1,,0,0,42,0.435253326
2,5,10,1,57,0.133650292
1,,3,0,26,-0.323799651
1,,0,0,44,0.267123969
3,,50,0,29,0.607988178
2,0,0,0,31,-0.381679158
3,,0,,,-1.162823217
1,,0,1,28,-0.601276606
3,,20,,,0.130589172
2,10,50,0,28,0.181005521
1,,0,,,-0.215977112
1,,1,0,18,-0.293868437
1,,0,0,28,0.415311472
3,,20,,,0.790826982
1,,20,,,0.168931283
3,,0,0,20,0.67608957
1,,5,0,30,-0.634798755
3,,50,1,23,-0.426271259
1,,20,0,42,0.435979349
2,10,50,0,29,0.600822109
2,25,0,,,-0.374027101
2,10,50,,,-0.05866089
2,10,50,1,32,0.708635891
